road_id,object_key,startnode,sluttnode,typeVeg,street_name,length_m
r200,405429-2-3:457007>2648070,457007,2648070,Enkel bilveg,Utsiktsveien,271.253
r206,405339-1-3:457327>456982,457327,456982,Enkel bilveg,Platåveien,291.372
r200,405429-1-3:457040>457007,457040,457007,Enkel bilveg,Utsiktsveien,21.569
r207,405465-4-4:457327>457040,457327,457040,Enkel bilveg,Åsveien,200.953
r207,405465-5-4:457040>457039,457040,457039,Enkel bilveg,Åsveien,87.596
r207,405465-1-4:457505>457502,457505,457502,Enkel bilveg,Åsveien,6.983
r200,405429-4-3:2648070>456254,2648070,456254,Enkel bilveg,Utsiktsveien,375.915
r207,405465-10-4:456659>456250,456659,456250,Enkel bilveg,Åsveien,404.572
r207,405465-13-4:455958>455938,455958,455938,Enkel bilveg,Åsveien,72.165
r700,418378-1-3:453664>1407157,453664,1407157,Enkel bilveg,Maisen Pedersens vei,285.075
r709,418377-2-3:453664>1407156,453664,1407156,Enkel bilveg,Maisen Pedersens vei,47.251
r888,2538713-1-5:1412350>3834933,1412350,3834933,Enkel bilveg,Bjerkoddveien,86.613
r891,2538712-1-4:1412350>2538569,1412350,2538569,Enkel bilveg,Bjerkoddveien,89.072
r892,417177-2-4:452067>1412350,452067,1412350,Enkel bilveg,Bjerkoddveien,104.553
r1067,406014-2-4:452448>2538401,452448,CN39,Enkel bilveg,Brodtkorbsgate,59.908
r1067,406014-8-4:2538401>452501,CN39,452501,Enkel bilveg,Brodtkorbsgate,7.624
r1067,406014-3-4:452501>2538402,452501,CN39,Enkel bilveg,Brodtkorbsgate,7.974
r1067,406014-9-4:2538402>452512,CN39,452512,Enkel bilveg,Brodtkorbsgate,6.329
r1067,406014-4-4:452512>2538397,452512,CN38,Enkel bilveg,Brodtkorbsgate,29.336
r1183,405284-9-3:453056>1403392,453056,1403392,Enkel bilveg,Lillehagveien,458.562
r1194,405412-2-3:2642161>452290,2642161,452290,Enkel bilveg,Thommessens vei,51.841
r1194,405412-1-3:452486>2642161,452486,2642161,Enkel bilveg,Thommessens vei,242.09
r1199,2642431-1-4:2642161>2642313,2642161,2642313,Enkel bilveg,Thommessens vei,46.337
r1207,418038-3-3:452064>3069761,452064,3069761,Enkel bilveg,Sogneprest Munthe-Kaas vei,36.633
r1207,418038-4-3:3069761>2813586,3069761,2813586,Enkel bilveg,Sogneprest Munthe-Kaas vei,8.534
r1207,418038-2-3:452055>452064,452055,452064,Enkel bilveg,Sogneprest Munthe-Kaas vei,5.857
r1207,418038-6-3:2813586>452064,2813586,452064,Enkel bilveg,Sogneprest Munthe-Kaas vei,22.752
r1207,418038-9-3:3833400>452055,3833400,452055,Enkel bilveg,Sogneprest Munthe-Kaas vei,59.497
r1207,418038-8-3:3581555>3833400,3581555,3833400,Enkel bilveg,Sogneprest Munthe-Kaas vei,49.499
r1208,2813544-1-3:1407112>2813586,1407112,2813586,Enkel bilveg,Sykehusveien,50.941
