group_kind	group_label	row_count	dominant_target_changed_count	source_unobserved_count	mean_observed_target_count	mean_row_tv_error	median_row_tv_error	max_row_tv_error	mean_max_abs_entry_error	max_abs_entry_error	mean_row_normalized_observation_signal	median_row_normalized_observation_signal	mean_min_pair_contrast_sensitivity	median_min_pair_contrast_sensitivity
source_observed	source observed	6	5	0	1.333333333	0.2887519353	0.2704248052	0.4566148836	0.2565531742	0.3703574169	0.1875423864	0.1819607926	0.3010566303	0.2625854063
source_observed	source unobserved	10	10	10	1.6	0.326598186	0.3124113372	0.5552748191	0.2861696143	0.4673630805	0.249170207	0.1863508381	0.3023755016	0.2339833754
observed_target_count	0 observed targets	4	4	2	0	0.2898997872	0.2865495192	0.3704170558	0.2782163199	0.3369490874	0.09045076881	0.09397223363	0	0
observed_target_count	2 observed targets	12	11	8	2	0.3199078603	0.2967150182	0.5552748191	0.2740124924	0.4673630805	0.2712627761	0.2147898621	0.4025078998	0.5338231531
dominant_target_changed	dominant target changed	15	15	10	1.466666667	0.316131725	0.2897527053	0.5552748191	0.2807970665	0.4673630805	0.2231304075	0.1848602018	0.272760271	3.061910525e-06
dominant_target_changed	dominant target preserved	1	0	0	2	0.2565175974	0.2565175974	0.2565175974	0.1890591912	0.1890591912	0.2700002757	0.2700002757	0.7386907331	0.7386907331
junction	J1 (top-left)	4	4	3	2	0.4165608766	0.4621820211	0.5552748191	0.3267580642	0.4673630805	0.4593299688	0.4053518054	0.5753766267	0.5761552476
junction	J2 (top-right)	4	4	3	2	0.275572435	0.2967150182	0.3211453431	0.2696103898	0.3211453431	0.1406907245	0.1553925299	2.598748452e-06	2.595430497e-06
junction	J3 (bottom-left)	4	4	2	0	0.2898997872	0.2865495192	0.3704170558	0.2782163199	0.3369490874	0.09045076881	0.09397223363	0	0
junction	J4 (bottom-right)	4	3	2	2	0.2675902692	0.2465281471	0.3480934246	0.2256690231	0.3480934246	0.213767635	0.2088971513	0.6321444739	0.6323595462
