label	loss_kind	restart_label	restart_seed	iterations	solve_seconds	final_loss	best_loss	final_raw_grad_norm	clip_fraction	loss_tail_relspan	grad_tail_relspan	turning_rmse	fit_rmse	predictive_rmse	final_state_rmse_all	final_state_rmse_observed	final_state_rmse_unobserved	optimizer	requested_seconds	converged	map_loss_at_solution	mse_loss_at_solution
MAP	map	prior mean	0	188	28.53999996	206.2406037	206.2406037	0.1812790774	0	4.507578417e-12	NaN	0.1555745156	0.06656235078	0.01747077578	0.03941585271	0.0259362134	0.045567897	lbfgs	300	false	206.2406037	0.6379987019
MAP	map	seed 1	1	211	30.36000013	207.2889264	207.2889264	0.1570054238	0	2.358318945e-14	NaN	0.1563725015	0.06651371034	0.01708735825	0.04021580044	0.02523222593	0.0468969045	lbfgs	300	true	207.2889264	0.6370666075
MAP	map	seed 2	2	180	24.62900019	206.3510043	206.3510043	0.1812611508	0	5.483607105e-11	NaN	0.1564141779	0.06655624855	0.01742325865	0.04152960925	0.02584315213	0.04849679009	lbfgs	300	false	206.3510043	0.6378817279
MAP	map	seed 3	3	259	40.26999998	206.4777405	206.4777405	0.2083833947	0	1.00897622e-13	NaN	0.1568414023	0.06655711673	0.01753152706	0.04538952762	0.02991635859	0.05245724898	lbfgs	300	true	206.4777405	0.6378983694
MAP	map	seed 4	4	21	20.66900015	206.3036086	206.3036086	1.101424742	0	0.5002841121	NaN	0.1527857558	0.06657518439	0.01740565251	0.0405433783	0.02574605271	0.04717975649	lbfgs	300	true	206.3036086	0.6382447455
MSE	mse	prior mean	0	69	39.36199999	0.6321484181	0.6321484181	0.002695121366	0	0.003737800815	NaN	0.2551847743	0.06625646814	0.016707668	0.04286654393	0.02846328117	0.04947006929	lbfgs	300	true	241.2033102	0.6321484181
MSE	mse	seed 1	1	431	69.60899997	0.6309123755	0.6309123755	0.0002625713944	0	2.68147854e-07	NaN	0.4122415811	0.06619166066	0.01653997356	0.06046390362	0.02894177758	0.07299662872	lbfgs	300	false	19532.11181	0.6309123755
MSE	mse	seed 2	2	106	47.7980001	0.6314623628	0.6314623628	0.002168406964	0	0.001469857807	NaN	0.3215359796	0.06622050511	0.01655773235	0.05004453192	0.02969498199	0.05888547529	lbfgs	300	true	644.9658499	0.6314623628
MSE	mse	seed 3	3	44	22.17400002	0.6334750036	0.6334750036	0.005099127611	0	0.05782742419	NaN	0.2055735522	0.06632595246	0.01634674073	0.04544476002	0.02873316231	0.05292393151	lbfgs	300	true	216.6946131	0.6334750036
MSE	mse	seed 4	4	23	10.94700003	0.6336563403	0.6336563403	0.002902671852	0	0.6876056032	NaN	0.1639475195	0.06633544492	0.01636675966	0.04537248092	0.02679448525	0.05342632743	lbfgs	300	true	214.5802837	0.6336563403
