road_id	observed	map_rmse	esmda_rmse	display_score
1	false	0.04324967076	0.03006329316	0.04324967076
2	true	0.03325501713	0.02454744704	0.03325501713
3	false	0.03514800687	0.0230737387	0.03514800687
4	true	0.01220143578	0.01286079271	0.01286079271
5	false	0.01629431921	0.01636835946	0.01636835946
6	false	0.0183006153	0.01136837029	0.0183006153
7	true	0.01936232032	0.02243500068	0.02243500068
8	false	0.04746734836	0.04633225898	0.04746734836
9	true	0.03252602244	0.07878790406	0.07878790406
10	false	0.02983707625	0.05751684942	0.05751684942
11	false	0.01927064992	0.05663293	0.05663293
12	false	0.01513790479	0.03117868723	0.03117868723
13	false	0.009195306756	0.0224550627	0.0224550627
14	true	0.01207091663	0.03989795795	0.03989795795
15	true	0.01678709235	0.03032609435	0.03032609435
16	false	0.01051551333	0.04562562908	0.04562562908
17	true	0.0207846916	0.006433911586	0.0207846916
18	false	0.08294250602	0.04899012104	0.08294250602
19	false	0.01569906063	0.04756262517	0.04756262517
20	false	0.02541013439	0.09898187779	0.09898187779
21	true	0.008959591441	0.01445568336	0.01445568336
22	false	0.009560191179	0.02868567735	0.02868567735
23	false	0.07423834054	0.07742839539	0.07742839539
24	true	0.03656815577	0.06481800106	0.06481800106
